id,type,fedWith,weight,offset
urn:ngsi-ld:Animal:cow101,Animal,Milk,40,-16
urn:ngsi-ld:Animal:cow101,Animal,Milk,48,-15
urn:ngsi-ld:Animal:cow101,Animal,Milk,53,-14
urn:ngsi-ld:Animal:cow101,Animal,Milk,57,-13
urn:ngsi-ld:Animal:cow101,Animal,Milk,61,-12
urn:ngsi-ld:Animal:cow101,Animal,Milk,68,-11
urn:ngsi-ld:Animal:cow101,Animal,Hay,73,-10
urn:ngsi-ld:Animal:cow101,Animal,Hay,75,-9
urn:ngsi-ld:Animal:cow101,Animal,Oats,84,-8
urn:ngsi-ld:Animal:cow101,Animal,Hay,90,-7
urn:ngsi-ld:Animal:cow101,Animal,Hay,95,-6
urn:ngsi-ld:Animal:cow101,Animal,Grass,96,-5
urn:ngsi-ld:Animal:cow101,Animal,Grass,104,-4
urn:ngsi-ld:Animal:cow101,Animal,Grass,107,-3
urn:ngsi-ld:Animal:cow101,Animal,Grass,113,-2
urn:ngsi-ld:Animal:cow101,Animal,Grass,120,-1
urn:ngsi-ld:Animal:cow102,Animal,Milk,37,-16
urn:ngsi-ld:Animal:cow102,Animal,Milk,44,-15
urn:ngsi-ld:Animal:cow102,Animal,Milk,46,-14
urn:ngsi-ld:Animal:cow102,Animal,Milk,53,-13
urn:ngsi-ld:Animal:cow102,Animal,Milk,57,-12
urn:ngsi-ld:Animal:cow102,Animal,Milk,58,-11
urn:ngsi-ld:Animal:cow102,Animal,Hay,62,-10
urn:ngsi-ld:Animal:cow102,Animal,Hay,66,-9
urn:ngsi-ld:Animal:cow102,Animal,Oats,73,-8
urn:ngsi-ld:Animal:cow102,Animal,Hay,75,-7
urn:ngsi-ld:Animal:cow102,Animal,Hay,79,-6
urn:ngsi-ld:Animal:cow102,Animal,Grass,85,-5
urn:ngsi-ld:Animal:cow102,Animal,Grass,92,-4
urn:ngsi-ld:Animal:cow102,Animal,Grass,94,-3
urn:ngsi-ld:Animal:cow102,Animal,Grass,101,-2
urn:ngsi-ld:Animal:cow102,Animal,Grass,103,-1
