id,type,fedWith,weight,offset
urn:ngsi-ld:Animal:cow001,Animal,Grass,656,-24
urn:ngsi-ld:Animal:cow001,Animal,Grass,664,-23
urn:ngsi-ld:Animal:cow001,Animal,Hay,666,-22
urn:ngsi-ld:Animal:cow001,Animal,Hay,666,-21
urn:ngsi-ld:Animal:cow001,Animal,Oats,673,-20
urn:ngsi-ld:Animal:cow001,Animal,Hay,674,-19
urn:ngsi-ld:Animal:cow001,Animal,Hay,680,-18
urn:ngsi-ld:Animal:cow001,Animal,Grass,687,-17
urn:ngsi-ld:Animal:cow001,Animal,Grass,698,-16
urn:ngsi-ld:Animal:cow001,Animal,Grass,704,-15
urn:ngsi-ld:Animal:cow001,Animal,Grass,702,-14
urn:ngsi-ld:Animal:cow001,Animal,Grass,713,-13
urn:ngsi-ld:Animal:cow001,Animal,Grass,719,-12
urn:ngsi-ld:Animal:cow001,Animal,Grass,724,-11
urn:ngsi-ld:Animal:cow001,Animal,Hay,723,-10
urn:ngsi-ld:Animal:cow001,Animal,Hay,727,-9
urn:ngsi-ld:Animal:cow001,Animal,Oats,732,-8
urn:ngsi-ld:Animal:cow001,Animal,Hay,723,-7
urn:ngsi-ld:Animal:cow001,Animal,Hay,728,-6
urn:ngsi-ld:Animal:cow001,Animal,Grass,732,-5
urn:ngsi-ld:Animal:cow001,Animal,Grass,741,-4
urn:ngsi-ld:Animal:cow001,Animal,Grass,745,-3
urn:ngsi-ld:Animal:cow001,Animal,Grass,748,-2
urn:ngsi-ld:Animal:cow001,Animal,Grass,750,-1
urn:ngsi-ld:Animal:cow002,Animal,Grass,314,-24
urn:ngsi-ld:Animal:cow002,Animal,Grass,319,-23
urn:ngsi-ld:Animal:cow002,Animal,Hay,322,-22
urn:ngsi-ld:Animal:cow002,Animal,Hay,320,-21
urn:ngsi-ld:Animal:cow002,Animal,Oats,324,-20
urn:ngsi-ld:Animal:cow002,Animal,Hay,326,-19
urn:ngsi-ld:Animal:cow002,Animal,Hay,331,-18
urn:ngsi-ld:Animal:cow002,Animal,Grass,335,-17
urn:ngsi-ld:Animal:cow002,Animal,Grass,342,-16
urn:ngsi-ld:Animal:cow002,Animal,Grass,346,-15
urn:ngsi-ld:Animal:cow002,Animal,Grass,343,-14
urn:ngsi-ld:Animal:cow002,Animal,Grass,349,-13
urn:ngsi-ld:Animal:cow002,Animal,Grass,353,-12
urn:ngsi-ld:Animal:cow002,Animal,Grass,356,-11
urn:ngsi-ld:Animal:cow002,Animal,Hay,356,-10
urn:ngsi-ld:Animal:cow002,Animal,Hay,360,-9
urn:ngsi-ld:Animal:cow002,Animal,Oats,363,-8
urn:ngsi-ld:Animal:cow002,Animal,Hay,356,-7
urn:ngsi-ld:Animal:cow002,Animal,Hay,359,-6
urn:ngsi-ld:Animal:cow002,Animal,Grass,361,-5
urn:ngsi-ld:Animal:cow002,Animal,Grass,367,-4
urn:ngsi-ld:Animal:cow002,Animal,Grass,369,-3
urn:ngsi-ld:Animal:cow002,Animal,Grass,371,-2
urn:ngsi-ld:Animal:cow002,Animal,Grass,372,-1
urn:ngsi-ld:Animal:cow003,Animal,Grass,399,-24
urn:ngsi-ld:Animal:cow003,Animal,Grass,401,-23
urn:ngsi-ld:Animal:cow003,Animal,Hay,399,-22
urn:ngsi-ld:Animal:cow003,Animal,Hay,394,-21
urn:ngsi-ld:Animal:cow003,Animal,Oats,395,-20
urn:ngsi-ld:Animal:cow003,Animal,Hay,394,-19
urn:ngsi-ld:Animal:cow003,Animal,Hay,395,-18
urn:ngsi-ld:Animal:cow003,Animal,Grass,397,-17
urn:ngsi-ld:Animal:cow003,Animal,Grass,401,-16
urn:ngsi-ld:Animal:cow003,Animal,Grass,403,-15
urn:ngsi-ld:Animal:cow003,Animal,Grass,397,-14
urn:ngsi-ld:Animal:cow003,Animal,Grass,402,-13
urn:ngsi-ld:Animal:cow003,Animal,Grass,403,-12
urn:ngsi-ld:Animal:cow003,Animal,Grass,404,-11
urn:ngsi-ld:Animal:cow003,Animal,Hay,402,-10
urn:ngsi-ld:Animal:cow003,Animal,Hay,404,-9
urn:ngsi-ld:Animal:cow003,Animal,Oats,405,-8
urn:ngsi-ld:Animal:cow003,Animal,Hay,396,-7
urn:ngsi-ld:Animal:cow003,Animal,Hay,397,-6
urn:ngsi-ld:Animal:cow003,Animal,Grass,399,-5
urn:ngsi-ld:Animal:cow003,Animal,Grass,403,-4
urn:ngsi-ld:Animal:cow003,Animal,Grass,404,-3
urn:ngsi-ld:Animal:cow003,Animal,Grass,404,-2
urn:ngsi-ld:Animal:cow003,Animal,Grass,404,-1
urn:ngsi-ld:Animal:cow004,Animal,Grass,348,-24
urn:ngsi-ld:Animal:cow004,Animal,Grass,345,-23
urn:ngsi-ld:Animal:cow004,Animal,Hay,342,-22
urn:ngsi-ld:Animal:cow004,Animal,Hay,349,-21
urn:ngsi-ld:Animal:cow004,Animal,Oats,352,-20
urn:ngsi-ld:Animal:cow004,Animal,Hay,350,-19
urn:ngsi-ld:Animal:cow004,Animal,Hay,346,-18
urn:ngsi-ld:Animal:cow004,Animal,Grass,355,-17
urn:ngsi-ld:Animal:cow004,Animal,Grass,352,-16
urn:ngsi-ld:Animal:cow004,Animal,Grass,347,-15
urn:ngsi-ld:Animal:cow004,Animal,Grass,356,-14
urn:ngsi-ld:Animal:cow004,Animal,Grass,357,-13
urn:ngsi-ld:Animal:cow004,Animal,Grass,352,-12
urn:ngsi-ld:Animal:cow004,Animal,Grass,348,-11
urn:ngsi-ld:Animal:cow004,Animal,Hay,348,-10
urn:ngsi-ld:Animal:cow004,Animal,Hay,359,-9
urn:ngsi-ld:Animal:cow004,Animal,Oats,358,-8
urn:ngsi-ld:Animal:cow004,Animal,Hay,349,-7
urn:ngsi-ld:Animal:cow004,Animal,Hay,356,-6
urn:ngsi-ld:Animal:cow004,Animal,Grass,359,-5
urn:ngsi-ld:Animal:cow004,Animal,Grass,352,-4
urn:ngsi-ld:Animal:cow004,Animal,Grass,353,-3
urn:ngsi-ld:Animal:cow004,Animal,Grass,362,-2
urn:ngsi-ld:Animal:cow004,Animal,Grass,359,-1
urn:ngsi-ld:Animal:cow006,Animal,Grass,435,-24
urn:ngsi-ld:Animal:cow006,Animal,Grass,436,-23
urn:ngsi-ld:Animal:cow006,Animal,Oats,434,-22
urn:ngsi-ld:Animal:cow006,Animal,Oats,428,-21
urn:ngsi-ld:Animal:cow006,Animal,Oats,430,-20
urn:ngsi-ld:Animal:cow006,Animal,Oats,427,-19
urn:ngsi-ld:Animal:cow006,Animal,Oats,429,-18
urn:ngsi-ld:Animal:cow006,Animal,Grass,430,-17
urn:ngsi-ld:Animal:cow006,Animal,Grass,434,-16
urn:ngsi-ld:Animal:cow006,Animal,Grass,435,-15
urn:ngsi-ld:Animal:cow006,Animal,Grass,430,-14
urn:ngsi-ld:Animal:cow006,Animal,Grass,434,-13
urn:ngsi-ld:Animal:cow006,Animal,Grass,435,-12
urn:ngsi-ld:Animal:cow006,Animal,Grass,436,-11
urn:ngsi-ld:Animal:cow006,Animal,Oats,434,-10
urn:ngsi-ld:Animal:cow006,Animal,Oats,435,-9
urn:ngsi-ld:Animal:cow006,Animal,Oats,436,-8
urn:ngsi-ld:Animal:cow006,Animal,Oats,427,-7
urn:ngsi-ld:Animal:cow006,Animal,Oats,428,-6
urn:ngsi-ld:Animal:cow006,Animal,Grass,429,-5
urn:ngsi-ld:Animal:cow006,Animal,Grass,434,-4
urn:ngsi-ld:Animal:cow006,Animal,Grass,434,-3
urn:ngsi-ld:Animal:cow006,Animal,Grass,435,-2
urn:ngsi-ld:Animal:cow006,Animal,Grass,434,-1
urn:ngsi-ld:Animal:cow010,Animal,Grass,331,-24
urn:ngsi-ld:Animal:cow010,Animal,Grass,335,-23
urn:ngsi-ld:Animal:cow010,Animal,Hay,341,-22
urn:ngsi-ld:Animal:cow010,Animal,Hay,345,-21
urn:ngsi-ld:Animal:cow010,Animal,Oats,348,-20
urn:ngsi-ld:Animal:cow010,Animal,Hay,355,-19
