id,type,heartRate,location_type,lng,lat,weight,fedWith,providedBy
urn:ngsi-ld:Animal:cow001,Animal,51,Point,13.34973,52.51139,752,Grass,urn:ngsi-ld:Device:cow001
urn:ngsi-ld:Animal:cow002,Animal,54,Point,13.34806,52.51186,373,Grass,urn:ngsi-ld:Device:cow002
urn:ngsi-ld:Animal:cow003,Animal,51,Point,13.35509,52.5152,404,Grass,urn:ngsi-ld:Device:cow003
urn:ngsi-ld:Animal:cow004,Animal,54,Point,13.35458,52.51367,357,Grass,urn:ngsi-ld:Device:cow004
urn:ngsi-ld:Animal:cow006,Animal,52,Point,13.36984,52.51634,434,Oats,urn:ngsi-ld:Device:cow006
urn:ngsi-ld:Animal:cow010,Animal,55,Point,13.34856,52.51121,315,Grass,urn:ngsi-ld:Device:cow010
urn:ngsi-ld:Animal:cow009,Animal,54,Point,13.34896,52.51713,411,Grass,urn:ngsi-ld:Device:cow009
urn:ngsi-ld:Animal:cow008,Animal,50,Point,13.34824,52.51844,431,Grass,urn:ngsi-ld:Device:cow008
urn:ngsi-ld:Animal:cow007,Animal,55,Point,13.35599,52.51567,480,Grass,urn:ngsi-ld:Device:cow007
urn:ngsi-ld:Animal:cow005,Animal,70,Point,13.35569,52.51515,425,Grass,urn:ngsi-ld:Device:cow005
urn:ngsi-ld:Animal:cow011,Animal,52,Point,13.34898,52.5175,490,Grass,urn:ngsi-ld:Device:cow011
urn:ngsi-ld:Animal:cow012,Animal,54,Point,13.35273,52.51365,393,Grass,urn:ngsi-ld:Device:cow012
urn:ngsi-ld:Animal:cow019,Animal,52,Point,13.3542,52.51364,392,Hay,urn:ngsi-ld:Device:cow019
urn:ngsi-ld:Animal:cow018,Animal,55,Point,13.35293,52.5135,399,Grass,urn:ngsi-ld:Device:cow018
urn:ngsi-ld:Animal:cow017,Animal,54,Point,13.35538,52.51587,243,Grass,urn:ngsi-ld:Device:cow017
urn:ngsi-ld:Animal:cow016,Animal,51,Point,13.35446,52.51585,485,Grass,urn:ngsi-ld:Device:cow016
urn:ngsi-ld:Animal:cow015,Animal,51,Point,13.34823,52.51711,352,Grass,urn:ngsi-ld:Device:cow015
urn:ngsi-ld:Animal:cow014,Animal,55,Point,13.35249,52.51334,457,Grass,urn:ngsi-ld:Device:cow014
urn:ngsi-ld:Animal:cow013,Animal,53,Point,13.34984,52.51133,376,Hay,urn:ngsi-ld:Device:cow013
urn:ngsi-ld:Animal:cow021,Animal,50,Point,13.34956,52.51178,757,Grass,urn:ngsi-ld:Device:cow021
urn:ngsi-ld:Animal:cow020,Animal,54,Point,13.34893,52.51841,260,Grass,urn:ngsi-ld:Device:cow020
urn:ngsi-ld:Animal:cow023,Animal,50,Point,13.35342,52.51328,246,Grass,urn:ngsi-ld:Device:cow023
urn:ngsi-ld:Animal:cow022,Animal,54,Point,13.34833,52.51691,360,Grass,urn:ngsi-ld:Device:cow022
urn:ngsi-ld:Animal:cow024,Animal,52,Point,13.35414,52.51585,258,Grass,urn:ngsi-ld:Device:cow024
urn:ngsi-ld:Animal:cow025,Animal,51,Point,13.35575,52.51506,360,Hay,urn:ngsi-ld:Device:cow025
urn:ngsi-ld:Animal:cow026,Animal,54,Point,13.35453,52.51597,429,Grass,urn:ngsi-ld:Device:cow026
urn:ngsi-ld:Animal:cow027,Animal,54,Point,13.35582,52.51524,295,Grass,urn:ngsi-ld:Device:cow027
urn:ngsi-ld:Animal:cow029,Animal,53,Point,13.34957,52.51114,332,Grass,urn:ngsi-ld:Device:cow029
urn:ngsi-ld:Animal:cow028,Animal,52,Point,13.34816,52.51118,367,Grass,urn:ngsi-ld:Device:cow028
urn:ngsi-ld:Animal:cow033,Animal,54,Point,13.34895,52.51799,389,Grass,urn:ngsi-ld:Device:cow033
urn:ngsi-ld:Animal:cow031,Animal,50,Point,13.3552,52.51593,445,Hay,urn:ngsi-ld:Device:cow031
urn:ngsi-ld:Animal:cow030,Animal,52,Point,13.35438,52.51541,383,Grass,urn:ngsi-ld:Device:cow030
urn:ngsi-ld:Animal:cow037,Animal,55,Point,13.34942,52.5118,390,Hay,urn:ngsi-ld:Device:cow037
urn:ngsi-ld:Animal:cow036,Animal,51,Point,13.34872,52.51852,401,Grass,urn:ngsi-ld:Device:cow036
urn:ngsi-ld:Animal:cow035,Animal,50,Point,13.35399,52.51391,404,Grass,urn:ngsi-ld:Device:cow035
urn:ngsi-ld:Animal:cow034,Animal,51,Point,13.35436,52.51513,247,Grass,urn:ngsi-ld:Device:cow034
urn:ngsi-ld:Animal:cow032,Animal,55,Point,13.34898,52.51147,411,Grass,urn:ngsi-ld:Device:cow032
urn:ngsi-ld:Animal:cow038,Animal,52,Point,13.35476,52.51563,453,Grass,urn:ngsi-ld:Device:cow038
urn:ngsi-ld:Animal:cow039,Animal,54,Point,13.35336,52.51383,380,Grass,urn:ngsi-ld:Device:cow039
urn:ngsi-ld:Animal:cow040,Animal,54,Point,13.34832,52.51688,349,Grass,urn:ngsi-ld:Device:cow040
urn:ngsi-ld:Animal:cow101,Animal,55,Point,13.34806,52.51186,118,Grass,
urn:ngsi-ld:Animal:cow102,Animal,55,Point,13.35458,52.51367,103,Grass,
urn:ngsi-ld:Animal:cow103,Animal,55,Point,13.36984,52.51634,20,Milk,
