id,type,comment,name,birthdate,legalId,locatedAt,ownedBy,phenologicalCondition,reproductiveCondition,sex,species,healthCondition,calvedBy,siredBy
urn:ngsi-ld:Animal:cow001,Animal,Please check hooves.,Beany,2021-08-17T00:00:00.000Z,M-bull001-Beany,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,maleAdult,active,Male,dairy cattle,healthy,,
urn:ngsi-ld:Animal:cow002,Animal,,Trotter,2022-04-12T00:00:00.000Z,F-cow002-Trotter,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow003,Animal,,Petal,2019-01-13T00:00:00.000Z,F-cow003-Petal,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow004,Animal,,River,2022-08-15T00:00:00.000Z,F-cow004-River,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow006,Animal,Needs to see the vet.,Twilight,2017-03-06T00:00:00.000Z,F-cow006-Twilight,urn:ngsi-ld:Building:barn002,urn:ngsi-ld:Person:person001,femaleAdult,noStatus,Female,dairy cattle,healthy,,
urn:ngsi-ld:Animal:cow010,Animal,,Tulip,2023-05-12T00:00:00.000Z,F-cow010-Tulip,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow009,Animal,,Juicey,2020-03-09T00:00:00.000Z,F-cow009-Juicey,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow008,Animal,,Pollen,2022-06-07T00:00:00.000Z,F-cow008-Pollen,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleAdult,inHeat,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow007,Animal,,Diamond,2022-06-05T00:00:00.000Z,F-cow007-Diamond,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow005,Animal,,Sun,2022-06-09T00:00:00.000Z,F-cow005-Sun,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow011,Animal,,Oats,2018-04-01T00:00:00.000Z,F-cow011-Oats,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleAdult,inCalf,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow012,Animal,,Rain,2019-09-19T00:00:00.000Z,F-cow012-Rain,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleAdult,inactive,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow019,Animal,,Eenie,2017-05-06T00:00:00.000Z,F-cow019-Eenie,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow018,Animal,,Rice,2022-04-07T00:00:00.000Z,F-cow018-Rice,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow017,Animal,,Fisher,2024-05-16T00:00:00.000Z,F-cow017-Fisher,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleYoung,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow016,Animal,,Lacey,2019-03-11T00:00:00.000Z,F-cow016-Lacey,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleAdult,inCalf,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow015,Animal,,Button,2023-08-21T00:00:00.000Z,F-cow015-Button,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleAdult,inHeat,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow014,Animal,,Stamps,2020-02-17T00:00:00.000Z,F-cow014-Stamps,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow013,Animal,,Silver,2018-05-21T00:00:00.000Z,F-cow013-Silver,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow021,Animal,,Ferdinand,2018-03-23T00:00:00.000Z,M-bull021-Ferdinand,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,maleAdult,active,Male,dairy cattle,,,
urn:ngsi-ld:Animal:cow020,Animal,,Chalky,2024-01-13T00:00:00.000Z,F-cow020-Chalky,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person002,femaleYoung,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow023,Animal,,Happy,2024-05-04T00:00:00.000Z,F-cow023-Happy,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleYoung,inactive,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow022,Animal,,Feather,2023-09-06T00:00:00.000Z,F-cow022-Feather,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person002,femaleAdult,inHeat,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow024,Animal,,Fluffy,2024-06-24T00:00:00.000Z,F-cow024-Fluffy,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleYoung,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow025,Animal,,Bug,2017-05-14T00:00:00.000Z,F-cow025-Bug,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow026,Animal,,Opal,2017-06-09T00:00:00.000Z,F-cow026-Opal,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,inCalf,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow027,Animal,,Fresian,2023-09-19T00:00:00.000Z,F-cow027-Fresian,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow029,Animal,,Clover,2023-07-24T00:00:00.000Z,F-cow029-Clover,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person002,femaleAdult,inHeat,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow028,Animal,,Star,2021-08-10T00:00:00.000Z,F-cow028-Star,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow033,Animal,,Hero,2021-09-10T00:00:00.000Z,F-cow033-Hero,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow031,Animal,,Grape,2021-05-18T00:00:00.000Z,F-cow031-Grape,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,inCalf,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow030,Animal,,Flower,2018-08-26T00:00:00.000Z,F-cow030-Flower,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow037,Animal,,Marble,2020-01-11T00:00:00.000Z,F-cow037-Marble,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow036,Animal,,Cream,2019-02-24T00:00:00.000Z,F-cow036-Cream,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person002,femaleAdult,inHeat,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow035,Animal,,Jersey,2021-06-22T00:00:00.000Z,F-cow035-Jersey,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow034,Animal,,Cloud,2024-05-06T00:00:00.000Z,F-cow034-Cloud,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleYoung,inactive,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow032,Animal,,Citrus,2021-04-08T00:00:00.000Z,F-cow032-Citrus,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow038,Animal,,Sugar,2019-01-11T00:00:00.000Z,F-cow038-Sugar,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow039,Animal,,Pepsi,2019-02-18T00:00:00.000Z,F-cow039-Pepsi,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow040,Animal,,Spots,2024-01-25T00:00:00.000Z,F-cow040-Spots,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleYoung,active,Female,dairy cattle,,,
urn:ngsi-ld:Animal:cow101,Animal,,Bumble,2025-04-17T00:00:00.000Z,M-bull101-Bumble,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,grazingBaby,noStatus,Male,dairy cattle,,urn:ngsi-ld:Animal:cow002,urn:ngsi-ld:Animal:cow001
urn:ngsi-ld:Animal:cow102,Animal,,Blossom,2025-04-17T00:00:00.000Z,F-cow102-Blossom,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,grazingBaby,noStatus,Female,dairy cattle,,urn:ngsi-ld:Animal:cow004,urn:ngsi-ld:Animal:cow001
