id,type,heartRate,location_type,lng,lat,weight,fedWith,providedBy
urn:ngsi-ld:Animal:pig001,Animal,64,Point,13.35073,52.51839,261,,urn:ngsi-ld:Device:pig001
urn:ngsi-ld:Animal:pig002,Animal,61,Point,13.35006,52.51886,241,,urn:ngsi-ld:Device:pig002
urn:ngsi-ld:Animal:pig003,Animal,62,Point,13.35009,52.5182,332,,urn:ngsi-ld:Device:pig003
urn:ngsi-ld:Animal:pig004,Animal,63,Point,13.35058,52.51867,282,,urn:ngsi-ld:Device:pig004
urn:ngsi-ld:Animal:pig007,Animal,64,Point,13.35099,52.51867,325,,urn:ngsi-ld:Device:pig007
urn:ngsi-ld:Animal:pig008,Animal,60,Point,13.35024,52.51844,302,,urn:ngsi-ld:Device:pig008
urn:ngsi-ld:Animal:pig009,Animal,65,Point,13.35096,52.51813,301,,urn:ngsi-ld:Device:pig009
urn:ngsi-ld:Animal:pig006,Animal,61,Point,13.35049,52.51841,234,,urn:ngsi-ld:Device:pig006
urn:ngsi-ld:Animal:pig005,Animal,62,Point,13.35069,52.51815,333,,urn:ngsi-ld:Device:pig005
urn:ngsi-ld:Animal:pig012,Animal,63,Point,13.35073,52.51865,200,,urn:ngsi-ld:Device:pig012
urn:ngsi-ld:Animal:pig010,Animal,65,Point,13.35056,52.51821,298,,urn:ngsi-ld:Device:pig010
urn:ngsi-ld:Animal:pig011,Animal,63,Point,13.35098,52.5185,315,,urn:ngsi-ld:Device:pig011
urn:ngsi-ld:Animal:pig013,Animal,60,Point,13.35084,52.51833,254,,urn:ngsi-ld:Device:pig013
urn:ngsi-ld:Animal:pig018,Animal,60,Point,13.35093,52.5185,284,,urn:ngsi-ld:Device:pig018
urn:ngsi-ld:Animal:pig019,Animal,62,Point,13.3502,52.51864,255,,urn:ngsi-ld:Device:pig019
urn:ngsi-ld:Animal:pig016,Animal,63,Point,13.35046,52.51885,293,,urn:ngsi-ld:Device:pig016
urn:ngsi-ld:Animal:pig017,Animal,64,Point,13.35038,52.51887,316,,urn:ngsi-ld:Device:pig017
urn:ngsi-ld:Animal:pig014,Animal,64,Point,13.35049,52.51834,255,,urn:ngsi-ld:Device:pig014
urn:ngsi-ld:Animal:pig015,Animal,62,Point,13.35023,52.51811,319,,urn:ngsi-ld:Device:pig015
urn:ngsi-ld:Animal:pig021,Animal,60,Point,13.35056,52.51878,290,,urn:ngsi-ld:Device:pig021
urn:ngsi-ld:Animal:pig023,Animal,62,Point,13.35042,52.51828,232,,urn:ngsi-ld:Device:pig023
urn:ngsi-ld:Animal:pig033,Animal,65,Point,13.35095,52.51899,229,,urn:ngsi-ld:Device:pig033
urn:ngsi-ld:Animal:pig032,Animal,60,Point,13.35098,52.51847,343,,urn:ngsi-ld:Device:pig032
urn:ngsi-ld:Animal:pig038,Animal,60,Point,13.35076,52.51863,203,,urn:ngsi-ld:Device:pig038
urn:ngsi-ld:Animal:pig037,Animal,61,Point,13.34715,52.51985,241,,urn:ngsi-ld:Device:pig037
urn:ngsi-ld:Animal:pig036,Animal,64,Point,13.35072,52.51852,316,,urn:ngsi-ld:Device:pig036
urn:ngsi-ld:Animal:pig031,Animal,63,Point,13.34730,52.51970,325,,urn:ngsi-ld:Device:pig031
urn:ngsi-ld:Animal:pig035,Animal,62,Point,13.34695,52.51965,340,,urn:ngsi-ld:Device:pig035
urn:ngsi-ld:Animal:pig034,Animal,62,Point,13.35036,52.51813,322,,urn:ngsi-ld:Device:pig034
urn:ngsi-ld:Animal:pig040,Animal,64,Point,13.35032,52.51888,262,,urn:ngsi-ld:Device:pig040
