id,type,name,legalId,phenologicalCondition,reproductiveCondition,sex,species
urn:ngsi-ld:Animal:pig001,Animal,Bubblegum,F-sow001-Bubblegum,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig002,Animal,Fuchshia,F-sow002-Fuchshia,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig003,Animal,Flamingo,F-sow003-Flamingo,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig004,Animal,Salmon,F-sow004-Salmon,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig007,Animal,Coral,F-sow007-Coral,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig008,Animal,Magenta,F-sow008-Magenta,femaleAdult,inHeat,Female,pig
urn:ngsi-ld:Animal:pig009,Animal,Cherry,F-sow009-Cherry,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig006,Animal,Peach,F-sow006-Peach,femaleAdult,inCalf,Female,pig
urn:ngsi-ld:Animal:pig005,Animal,Rouge,F-sow005-Rouge,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig012,Animal,Blush,F-sow012-Blush,femaleAdult,inactive,Female,pig
urn:ngsi-ld:Animal:pig010,Animal,Carnation,F-sow010-Carnation,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig011,Animal,Strawberry,F-sow011-Strawberry,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig013,Animal,Mauve,F-sow013-Mauve,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig018,Animal,Grape,F-sow018-Grape,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig019,Animal,Raspberry,F-sow019-Raspberry,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig016,Animal,Tango,F-sow016-Tango,femaleAdult,inCalf,Female,pig
urn:ngsi-ld:Animal:pig017,Animal,Lavender,F-sow017-Lavender,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig014,Animal,Orchid,F-sow014-Orchid,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig015,Animal,Cotton,F-sow015-Cotton,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig021,Animal,Watermelon,F-sow021-Watermelon,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig023,Animal,Lemonade,F-sow023-Lemonade,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig033,Animal,Hulk,F-sow033-Hulk,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig032,Animal,Goliath,F-sow032-Goliath,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig038,Animal,Clifford,F-sow038-Clifford,femaleAdult,active,Female,pig
urn:ngsi-ld:Animal:pig037,Animal,Colossus,M-boar037-Colossus,maleAdult,active,Male,pig
urn:ngsi-ld:Animal:pig036,Animal,Bruce,F-sow036-Bruce,femaleAdult,inHeat,Female,pig
urn:ngsi-ld:Animal:pig031,Animal,Mammoth,M-boar031-Mammoth,maleAdult,active,Male,pig
urn:ngsi-ld:Animal:pig035,Animal,Giant,M-boar035-Giant,maleAdult,active,Male,pig
urn:ngsi-ld:Animal:pig034,Animal,Thor,F-sow034-Thor,femaleAdult,inactive,Female,pig
urn:ngsi-ld:Animal:pig040,Animal,Reptar,F-sow040-Reptar,femaleAdult,active,Female,pig
